TOT_POP,ICU Beds_x,Population Aged 60+,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_prevalence,COPD_prevalence,COPD_number,diabetes_number,CKD_number,y
59830.0,6.0,11580.0,48.2,21501.0,37.9,16904.0,8.6,10.5,4674.0,5732.0,1497.0,3834
10447.0,0.0,2568.0,46.4,3462.0,35.9,2677.0,10.2,8.4,627.0,1059.0,298.0,758
29189.0,0.0,6652.0,42.9,10236.0,31.6,7542.0,7.0,7.3,1746.0,2516.0,672.0,1663
1101.0,0.0,429.0,43.7,397.0,29.5,268.0,9.7,9.9,90.0,130.0,37.0,89
22983.0,0.0,7186.0,48.2,9067.0,36.7,6900.0,10.1,10.9,2053.0,2465.0,690.0,1906
5420.0,0.0,1719.0,45.3,1906.0,35.9,1511.0,9.3,9.0,377.0,553.0,150.0,390
8477.0,0.0,2085.0,55.8,3622.0,40.0,2599.0,10.5,12.0,782.0,1139.0,283.0,684
179914.0,71.0,30269.0,44.3,62692.0,35.7,50539.0,6.6,7.3,10298.0,16605.0,4346.0,9319
22725.0,0.0,6129.0,54.8,9782.0,36.1,6444.0,10.1,11.3,2013.0,2880.0,682.0,1796
71818.0,0.0,14107.0,48.0,25089.0,34.8,18200.0,10.9,12.8,6717.0,8894.0,2669.0,5693
8189.0,0.0,2279.0,52.7,3388.0,37.1,2386.0,11.8,14.1,908.0,1029.0,274.0,757
950181.0,412.0,171837.0,47.0,345486.0,33.9,249336.0,7.1,8.1,59738.0,98334.0,22635.0,52448
5278.0,0.0,1551.0,43.5,1778.0,36.6,1494.0,8.0,7.6,312.0,445.0,133.0,328
180454.0,156.0,49628.0,52.2,75463.0,37.4,54021.0,10.5,12.1,17475.0,21166.0,5256.0,15219
682.0,0.0,316.0,43.4,231.0,34.3,182.0,9.7,8.2,44.0,66.0,20.0,51
13336.0,0.0,3068.0,55.1,5808.0,40.0,4213.0,10.4,12.9,1356.0,1686.0,429.0,1093
42733.0,6.0,13064.0,54.0,18460.0,36.3,12407.0,12.1,12.4,4231.0,5876.0,1496.0,4144
10105518.0,2126.0,1800341.0,36.3,2877316.0,26.5,2097906.0,5.5,5.5,434075.0,952335.0,237766.0,434790
76493.0,27.0,19389.0,40.7,25593.0,31.5,19785.0,7.0,8.1,5094.0,6566.0,1781.0,4407
40796.0,0.0,11054.0,44.5,14268.0,36.9,11838.0,8.3,7.9,2549.0,3703.0,1084.0,2655
20358.0,0.0,6188.0,52.0,8159.0,36.2,5684.0,11.5,13.5,2118.0,2431.0,652.0,1804
18918.0,5.0,5437.0,43.8,6433.0,36.5,5356.0,8.5,8.1,1182.0,1650.0,505.0,1253
11693.0,0.0,2589.0,49.1,4248.0,36.5,3158.0,9.3,9.4,811.0,1279.0,330.0,801
12535.0,0.0,4734.0,44.5,4630.0,30.1,3129.0,10.3,10.4,1084.0,1492.0,443.0,1071
26887.0,8.0,5815.0,49.4,9774.0,36.2,7158.0,9.1,10.7,2122.0,3171.0,781.0,1790
10541.0,0.0,3347.0,53.1,4336.0,35.3,2882.0,11.7,13.5,1105.0,1325.0,345.0,953
134313.0,24.0,27165.0,46.8,49690.0,35.3,37498.0,6.6,7.0,7403.0,14108.0,3481.0,7026
56195.0,4.0,16636.0,48.2,21897.0,35.3,16032.0,9.5,9.9,4504.0,6315.0,1653.0,4315
12796.0,0.0,3745.0,45.7,4646.0,31.7,3223.0,9.8,9.9,1008.0,1448.0,395.0,998
2278906.0,129.0,470619.0,36.3,661141.0,25.3,460574.0,6.2,6.1,110259.0,242663.0,54827.0,112422
7303.0,0.0,1213.0,55.8,2604.0,46.4,2163.0,8.8,9.7,450.0,687.0,179.0,410
11534.0,0.0,3177.0,49.0,4409.0,34.0,3061.0,10.1,11.8,1061.0,1247.0,334.0,913
10218.0,0.0,2710.0,53.7,4236.0,39.3,3101.0,10.4,10.9,861.0,1174.0,300.0,824
36240.0,0.0,8144.0,44.1,12547.0,36.4,10348.0,7.7,9.5,2710.0,3585.0,858.0,2186
265429.0,64.0,62613.0,40.9,85577.0,30.2,63143.0,7.6,7.5,15750.0,26509.0,6795.0,15928
48177.0,13.0,10584.0,51.4,18559.0,36.5,13177.0,8.9,9.5,3425.0,4875.0,1217.0,3208
1876.0,0.0,380.0,36.4,509.0,25.8,361.0,7.6,7.5,105.0,140.0,46.0,107
10712.0,0.0,3061.0,44.4,3720.0,34.8,2919.0,8.0,7.2,605.0,888.0,265.0,671
77781.0,16.0,16661.0,40.3,24277.0,30.6,18413.0,6.8,8.6,5173.0,6811.0,1708.0,4092
11964.0,0.0,3281.0,42.4,3877.0,35.0,3202.0,8.0,7.5,685.0,1022.0,287.0,734
20599.0,0.0,5184.0,58.7,9432.0,42.0,6745.0,12.4,15.9,2552.0,2687.0,644.0,1992
14198.0,0.0,3491.0,58.3,6501.0,42.4,4729.0,12.4,16.1,1795.0,1967.0,459.0,1377
19389.0,0.0,4228.0,47.3,6896.0,34.2,4987.0,8.6,10.2,1493.0,1961.0,506.0,1253
9108.0,0.0,2392.0,49.4,3427.0,35.5,2465.0,9.4,10.9,756.0,907.0,243.0,653
805.0,0.0,289.0,46.6,303.0,36.4,236.0,9.9,9.0,58.0,86.0,25.0,64
476.0,0.0,164.0,43.7,168.0,35.7,137.0,8.1,7.4,29.0,43.0,12.0,31
11289.0,0.0,2862.0,48.7,4206.0,35.6,3072.0,9.1,9.2,794.0,1096.0,285.0,784
89694.0,0.0,16229.0,33.9,22835.0,29.3,19766.0,5.6,5.2,3530.0,5262.0,1640.0,3751
21780.0,8.0,3309.0,47.1,7010.0,38.7,5755.0,6.8,7.3,1080.0,2013.0,471.0,1014
47364.0,6.0,9312.0,32.8,12897.0,27.2,10681.0,6.1,5.9,2316.0,3402.0,1054.0,2387
25063.0,0.0,5677.0,55.2,10959.0,40.8,8102.0,9.5,11.8,2337.0,2786.0,673.0,1884
33147.0,5.0,6611.0,45.2,10587.0,32.0,7499.0,8.5,11.5,2702.0,3091.0,779.0,2001
11327.0,0.0,2283.0,32.8,2931.0,26.5,2366.0,5.5,5.0,448.0,726.0,222.0,488
8903.0,0.0,2374.0,57.0,4119.0,41.9,3026.0,10.2,10.7,776.0,1530.0,351.0,737
1362.0,0.0,369.0,50.3,533.0,35.6,377.0,10.9,10.0,105.0,163.0,43.0,115
17948.0,2.0,4836.0,51.6,7062.0,35.8,4902.0,10.8,11.6,1594.0,1989.0,523.0,1485
171361.0,35.0,30241.0,48.3,61261.0,37.2,47177.0,7.3,7.7,9763.0,15229.0,3757.0,9213
22304.0,0.0,4356.0,38.6,7253.0,31.9,5987.0,6.6,7.9,1476.0,1739.0,498.0,1233
399182.0,39.0,74900.0,42.6,130626.0,33.7,103296.0,5.9,6.6,20338.0,28790.0,7497.0,18102
916.0,0.0,294.0,49.9,354.0,38.4,273.0,11.0,9.6,68.0,100.0,29.0,78
47079.0,8.0,14046.0,53.6,20171.0,39.5,14854.0,10.2,10.5,3949.0,5985.0,1554.0,3832
